head_dim,head_layer,time_base,avg_time_base,time_head,avg_time_head,train_time,eval_time,psnr_avg
16,1,181.2131850719452,0.0017459599679347257,31.251894235610962,0.0006151826585226859,790.0774080753326,79.40247082710266,33.87464591026306
16,2,198.451269865036,0.0019120461495812314,33.891639709472656,0.000667145129219359,885.3181006908417,84.00506114959717,33.98414781570435
16,3,210.0053687095642,0.002023368038438811,33.743404388427734,0.0006642271685287245,953.9254505634308,83.88957023620605,34.26190259933472
32,1,188.3691325187683,0.0018149063736272119,31.87095618247986,0.0006273686774370556,810.2664828300476,81.77403140068054,34.24700396537781
32,2,233.86934232711792,0.002253293595983408,33.54593205451965,0.0006603399943804187,919.3350586891174,79.8026762008667,34.60441695213318
32,3,240.20695400238037,0.0023143554677943962,34.979487895965576,0.0006885590420654235,971.1053049564362,80.27423143386841,34.6986799621582
64,1,223.8688609600067,0.0021569405622893028,34.96387004852295,0.0006882516101754483,946.4033505916595,81.35474348068237,34.48652032852173
64,2,234.01485013961792,0.0022546955404144707,37.59569573402405,0.0007400581825953041,1053.8524453639984,79.8112952709198,34.88778380393982
64,3,230.4693944454193,0.00222053564356315,39.761202812194824,0.0007826854355661271,1045.7952916622162,79.42375469207764,34.92331604003906
64,2,224.64100766181946,0.0021643800718934335,36.60742139816284,0.0007206043463349706,917.4770317077637,79.1405656337738,34.8065850353241
64,3,235.26666831970215,0.002266756607762811,39.71619272232056,0.0007817994276160027,943.5780656337738,76.82054233551025,34.922299232482914
64,2,237.3016800880432,0.0022863636196940283,37.19148588180542,0.0007321014523691546,940.5310869216919,79.07247948646545,34.79430334091187
64,3,233.58519077301025,0.0022505558413431956,40.32087540626526,0.0007937023957454628,958.4023089408875,81.07995748519897,34.98790464401245
